Jugador 86, 2022-12-04 20:03:47.447796, Partida Rápida, 2022-12-04 20:03:47.447810
Jugador 87, 2022-12-04 20:03:47.448857, Partida Especial Navidad, 2022-12-04 20:03:47.448880
Jugador 88, 2022-12-04 20:03:47.449216, Partida Rápida, 2022-12-04 20:03:47.449243
Jugador 89, 2022-12-04 20:03:47.452396, Partida Estándar, 2022-12-04 20:03:47.452418
Jugador 90, 2022-12-04 20:03:47.452732, Partida Rápida, 2022-12-04 20:03:47.452745
Jugador 91, 2022-12-04 20:03:47.452960, Partida Estándar, 2022-12-04 20:03:47.452972
Jugador 92, 2022-12-04 20:03:47.453140, Partida Estándar, 2022-12-04 20:03:47.453315
Jugador 93, 2022-12-04 20:03:47.453422, Partida Versus, 2022-12-04 20:03:47.453434
Jugador 94, 2022-12-04 20:03:47.453646, Partida Especial Navidad, 2022-12-04 20:03:47.453659
Jugador 95, 2022-12-04 20:03:47.453955, Partida Especial Navidad, 2022-12-04 20:03:47.453971
Jugador 96, 2022-12-04 20:03:47.455016, Partida Estándar, 2022-12-04 20:03:47.455032
Jugador 97, 2022-12-04 20:03:47.455193, Partida Especial Navidad, 2022-12-04 20:03:47.455853
Jugador 100, 2022-12-04 20:03:47.456213, Partida Rápida, 2022-12-04 20:03:47.456227
Jugador 99, 2022-12-04 20:03:47.456004, Partida Especial Navidad, 2022-12-04 20:03:47.456684
Jugador 98, 2022-12-04 20:03:47.455833, Partida Rápida, 2022-12-04 20:03:47.456997
Jugador 101, 2022-12-04 20:03:47.456440, Partida Especial Navidad, 2022-12-04 20:03:47.457468
Jugador 102, 2022-12-04 20:03:47.456662, Partida Rápida, 2022-12-04 20:03:47.457722
Jugador 103, 2022-12-04 20:03:47.456905, Partida Estándar, 2022-12-04 20:03:47.457949
Jugador 104, 2022-12-04 20:03:47.457205, Partida Estándar, 2022-12-04 20:03:47.458365
Jugador 105, 2022-12-04 20:03:47.457447, Partida Estándar, 2022-12-04 20:03:47.458440
Jugador 106, 2022-12-04 20:03:47.457699, Partida Especial Navidad, 2022-12-04 20:03:47.458514
Jugador 107, 2022-12-04 20:03:47.457928, Partida Versus, 2022-12-04 20:03:47.458575
Jugador 108, 2022-12-04 20:03:47.458118, Partida Versus, 2022-12-04 20:03:47.458633
Jugador 109, 2022-12-04 20:03:47.458332, Partida Versus, 2022-12-04 20:03:47.458815
Jugador 110, 2022-12-04 20:03:47.458890, Partida Versus, 2022-12-04 20:03:47.459058
Jugador 111, 2022-12-04 20:03:47.459170, Partida Estándar, 2022-12-04 20:03:47.459182
Jugador 112, 2022-12-04 20:03:47.459377, Partida Versus, 2022-12-04 20:03:47.459388
Jugador 113, 2022-12-04 20:03:47.459602, Partida Rápida, 2022-12-04 20:03:47.459615
Jugador 114, 2022-12-04 20:03:47.459785, Partida Especial Navidad, 2022-12-04 20:03:47.459962
Jugador 115, 2022-12-04 20:03:47.460070, Partida Versus, 2022-12-04 20:03:47.460084
Jugador 116, 2022-12-04 20:03:47.460298, Partida Especial Navidad, 2022-12-04 20:03:47.460311
Jugador 117, 2022-12-04 20:03:47.460477, Partida Especial Navidad, 2022-12-04 20:03:47.460702
Jugador 118, 2022-12-04 20:03:47.460683, Partida Versus, 2022-12-04 20:03:47.461055
Jugador 119, 2022-12-04 20:03:47.460871, Partida Versus, 2022-12-04 20:03:47.461129
